team_number,team_name_short,city,region_key,lat,lon,group
12882,Hypergaints,Harrisonburg,VA,38.44966924328815,-78.86826338296386,3
9202,Her Majesty's Engineers,Crozet,VA,38.0702646251622,-78.70043060881311,3
2898,The BaronBots,Dyke,VA,38.2537414,-78.5397363,3
23818,The Calverton Cougars,Huntingtown,MD,38.6159533,-76.613015,4
24981,Robotic Gladiators,Silver Spring,MD,38.995621139766875,-77.02758763349345,4
18230,luminUs,Washington,DC,38.89569377431307,-77.03593548940228,4
24227,Techno Rexs,Alexandria,VA,38.80501592739918,-77.04787362737264,4
24624,Takoma Tigers,Takoma Park,MD,38.9778882,-77.0074765,4
23848,Robotics Warriors,Laurel,MD,39.097950958140316,-76.84892918263289,4
23933,FCH Robotics,Alexandria,VA,38.805957347593356,-77.04728981198316,4
24335,Girls Global Academy,Washington,DC,38.89444889248828,-77.03728204674564,4
24463,Firebird Robotics FTC,Washington,DC,38.89547445720257,-77.03565410168893,4
23288,Dream 2 STEAM AI Crew,Washington,DC,38.89559849909126,-77.03592087163904,4
24420,Cyber Dogs,Harwood,MD,38.8655338,-76.6200891,4
21828,Deal Dynamos,Washington,DC,38.89535156029823,-77.03746955240182,4
19642,Eagles,Crownsville,MD,39.0284438,-76.6013536,4
21310,nexUs,Washington,DC,38.895161736624964,-77.03745459894716,4
24579,Gonzaga Eagles Robotics,Washington,DC,38.895213511433525,-77.03724532080884,4
16789,High Point 1st Robotics,Beltsville,MD,39.0299081,-76.9149547,4
25295,Brookland Breeze,Washington,DC,38.8959157576639,-77.03627239804757,4
17219,SpiderBits,Laurel,MD,39.09893294908944,-76.84916813491496,4
5014,Future Gadget Lab,Washington,DC,38.89575114694007,-77.03596432134434,4
5225,Fox Tech,Washington,DC,38.894962346581245,-77.03657810201199,4
7393,electron Volts,Silver Spring,MD,38.9959461,-77.0276231,4
7631,The Lemons,Washington,DC,38.894510535378885,-77.03635742327471,4
4451,The Flying Foxes,Washington,DC,38.8950368,-77.0365427,4
3796,Talons,Edgewater,MD,38.93519029966821,-76.55794734925435,4
3583,Cybirds,Edgewater,MD,38.9344805,-76.5575862,4
9338,Lightning Coalition Robotics,Annapolis,MD,38.9786401,-76.492786,4
10216,SpiderByte,Laurel,MD,39.0984317,-76.8485094,4
11534,Bot Brigade Quartic,California,MD,38.2976295,-76.5081118,4
12888,The Stingers,Hollywood,MD,38.34632263115172,-76.57088311512192,4
14315,mobiUs,Washington,DC,38.89488725380132,-77.0357206022862,4
14607,Robot Uprising,Alexandria,VA,38.8051095,-77.0470229,4
5178,Mech Hawks,Edgewater,MD,38.93393481216419,-76.55670543841313,4
389,The Swarm,Hollywood,MD,38.3459143,-76.5717292,4
16791,DCPS: Jackson-Reed HS,Washington,DC,38.89579846986203,-77.03734974190067,4
16862,Terabyte Triceratops,Alexandria,VA,38.805141181980886,-77.04684239340597,4
16619,RoboShift,Washington,DC,38.89573070692577,-77.03658329813965,4
18697,Monke Bang Rock,Herndon,VA,38.95317821199785,-77.38572900748395,5
11525,Minerva's Mechanics,Brunswick,MD,39.3120824,-77.627411,5
11112,RoboLords,Ashburn,VA,39.0049709,-77.4911968,5
519,Epsilon Delta Too,Herndon,VA,38.9528369,-77.3852557,5
24521,Robo Wizards,Herndon,VA,38.95315229047389,-77.38479718836528,5
24128,Quantum Warriors,Herndon,VA,38.952093428752114,-77.38454656848653,5
8702,Curiosity Rovers,Reston,VA,38.957891202320866,-77.35852340646804,5
9073,Knightrix,Chantilly,VA,38.8941543,-77.4311513,5
22685,chosenconquerors,Ashburn,VA,39.005097705826856,-77.491117804522,5
23376,>>Import donut();,Frederick,MD,39.41669323137078,-77.41294020573054,5
23553,The Deliberators,Haymarket,VA,38.812286214105086,-77.63735011727327,5
22022,Electric Eagles,Ashburn,VA,39.005616485836256,-77.490813000535,5
392,Da Gingas,Haymarket,VA,38.811935988645494,-77.6361840382809,5
23568,John Robot,Haymarket,VA,38.812330411463094,-77.6367149330706,5
23565,Tech Titans,Haymarket,VA,38.81146798195379,-77.63758321007445,5
23567,Metal Monkeys,Haymarket,VA,38.811695418232034,-77.63655081856784,5
7729,Seahawks Robotics,Reston,VA,38.95792625250329,-77.35888520339452,5
23541,Cyber Sages,Ashburn,VA,39.005336073172835,-77.49043487742338,5
25004,STEAM'Rs 1,Brunswick,MD,39.311697442281904,-77.62730135724564,5
